Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Employee,Chrome 64.0.3282.186,,2018-03-21 23:29:33,2018-03-21 23:30:40,"1m - 7,117s",PASSED
,,,,,,
Test Cases/Employee/AddEmployeeFullWithLogin,Chrome 64.0.3282.186,,2018-03-21 23:29:33,2018-03-21 23:30:10,"36,748s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 23:29:34,2018-03-21 23:29:52,"17,779s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:29:52,2018-03-21 23:29:53,"1,584s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:29:53,2018-03-21 23:29:54,"0,605s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:29:54,2018-03-21 23:29:54,"0,177s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:29:54,2018-03-21 23:29:54,"0,233s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:29:54,2018-03-21 23:29:55,"0,183s",PASSED
util.SelectFile.SelectFile,Chrome 64.0.3282.186,,2018-03-21 23:29:55,2018-03-21 23:30:05,"10,360s",PASSED
"Statement - If (CreateLoginDetails == ""yes"")",Chrome 64.0.3282.186,,2018-03-21 23:30:05,2018-03-21 23:30:06,"0,995s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:30:06,2018-03-21 23:30:08,"1,946s",PASSED
verifyElementVisible,Chrome 64.0.3282.186,,2018-03-21 23:30:08,2018-03-21 23:30:08,"0,074s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 23:30:08,2018-03-21 23:30:10,"2,051s",PASSED
,,,,,,
Test Cases/Employee/AddEmployeeFullWithLogin,Chrome 64.0.3282.186,,2018-03-21 23:30:10,2018-03-21 23:30:40,"29,704s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 23:30:10,2018-03-21 23:30:23,"12,802s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:30:23,2018-03-21 23:30:25,"2,220s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:30:25,2018-03-21 23:30:26,"0,595s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:30:26,2018-03-21 23:30:26,"0,172s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:30:26,2018-03-21 23:30:26,"0,179s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 23:30:26,2018-03-21 23:30:26,"0,152s",PASSED
util.SelectFile.SelectFile,Chrome 64.0.3282.186,,2018-03-21 23:30:26,2018-03-21 23:30:36,"10,194s",PASSED
"Statement - If (CreateLoginDetails == ""yes"")",Chrome 64.0.3282.186,,2018-03-21 23:30:36,2018-03-21 23:30:36,"0,000s",PASSED
click,Chrome 64.0.3282.186,,2018-03-21 23:30:36,2018-03-21 23:30:38,"1,595s",PASSED
verifyElementVisible,Chrome 64.0.3282.186,,2018-03-21 23:30:38,2018-03-21 23:30:38,"0,066s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-21 23:30:38,2018-03-21 23:30:40,"1,709s",PASSED
