Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-06 11:41:30,2018-03-06 11:44:02,"2m - 31,912s",FAILED
,,,,,,
Test Cases/Login valido,Chrome 64.0.3282.186,,2018-03-06 11:41:31,2018-03-06 11:42:29,"58,340s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 11:41:31,2018-03-06 11:41:48,"16,230s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 11:41:48,2018-03-06 11:41:53,"5,237s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:41:53,2018-03-06 11:41:53,"0,339s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:41:53,2018-03-06 11:41:53,"0,237s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:41:53,2018-03-06 11:41:54,"0,184s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:41:54,2018-03-06 11:41:55,"1,194s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-06 11:41:55,2018-03-06 11:42:29,"34,186s",FAILED
,,,,,,
Test Cases/Login valido 2,Chrome 64.0.3282.186,,2018-03-06 11:42:29,2018-03-06 11:43:48,"1m - 18,639s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 11:42:29,2018-03-06 11:42:35,"5,535s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 11:42:35,2018-03-06 11:42:41,"6,288s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:42:41,2018-03-06 11:42:41,"0,186s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:42:41,2018-03-06 11:42:42,"0,168s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:42:42,2018-03-06 11:42:42,"0,180s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:42:42,2018-03-06 11:42:43,"1,091s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-06 11:42:43,2018-03-06 11:43:15,"31,828s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-06 11:43:15,2018-03-06 11:43:48,"32,943s",FAILED
,,,,,,
Test Cases/Login invalido,Chrome 64.0.3282.186,,2018-03-06 11:43:48,2018-03-06 11:44:02,"13,855s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 11:43:48,2018-03-06 11:43:53,"4,541s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 11:43:53,2018-03-06 11:43:58,"5,058s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:43:58,2018-03-06 11:43:58,"0,131s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:43:58,2018-03-06 11:43:58,"0,146s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 11:43:58,2018-03-06 11:43:58,"0,128s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 11:43:58,2018-03-06 11:44:00,"2,215s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-06 11:44:00,2018-03-06 11:44:00,"0,070s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-06 11:44:00,2018-03-06 11:44:00,"0,059s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-06 11:44:00,2018-03-06 11:44:02,"1,166s",PASSED
